id,url,name,amount
1,"https://terraria.wiki.gg/wiki/Iron_Pickaxe","Iron Pickaxe",1
2,"https://terraria.wiki.gg/wiki/Dirt_Block","Dirt Block",100
3,"https://terraria.wiki.gg/wiki/Stone_Block","Stone Block",100
4,"https://terraria.wiki.gg/wiki/Iron_Broadsword","Iron Broadsword",1
5,"https://terraria.wiki.gg/wiki/Mushroom","Mushroom",30
6,"https://terraria.wiki.gg/wiki/Iron_Shortsword","Iron Shortsword",1
7,"https://terraria.wiki.gg/wiki/Iron_Hammer","Iron Hammer",1
8,"https://terraria.wiki.gg/wiki/Torch","Torch",100
9,"https://terraria.wiki.gg/wiki/Wood","Wood",100
10,"https://terraria.wiki.gg/wiki/Iron_Axe","Iron Axe",1
11,"https://terraria.wiki.gg/wiki/Iron_Ore","Iron Ore",100
12,"https://terraria.wiki.gg/wiki/Copper_Ore","Copper Ore",100
13,"https://terraria.wiki.gg/wiki/Gold_Ore","Gold Ore",100
14,"https://terraria.wiki.gg/wiki/Silver_Ore","Silver Ore",100
15,"https://terraria.wiki.gg/wiki/Copper_Watch","Copper Watch",1
16,"https://terraria.wiki.gg/wiki/Silver_Watch","Silver Watch",1
17,"https://terraria.wiki.gg/wiki/Gold_Watch","Gold Watch",1
18,"https://terraria.wiki.gg/wiki/Depth_Meter","Depth Meter",1
19,"https://terraria.wiki.gg/wiki/Gold_Bar","Gold Bar",25
20,"https://terraria.wiki.gg/wiki/Copper_Bar","Copper Bar",25
21,"https://terraria.wiki.gg/wiki/Silver_Bar","Silver Bar",25
22,"https://terraria.wiki.gg/wiki/Iron_Bar","Iron Bar",25
23,"https://terraria.wiki.gg/wiki/Gel","Gel",99
24,"https://terraria.wiki.gg/wiki/Wooden_Sword","Wooden Sword",1
25,"https://terraria.wiki.gg/wiki/Wooden_Door","Wooden Door",1
26,"https://terraria.wiki.gg/wiki/Stone_Wall","Stone Wall",400
27,"https://terraria.wiki.gg/wiki/Acorn","Acorn",50
28,"https://terraria.wiki.gg/wiki/Lesser_Healing_Potion","Lesser Healing Potion",30
29,"https://terraria.wiki.gg/wiki/Life_Crystal","Life Crystal",10
30,"https://terraria.wiki.gg/wiki/Dirt_Wall","Dirt Wall",400
31,"https://terraria.wiki.gg/wiki/Bottle","Bottle",25
32,"https://terraria.wiki.gg/wiki/Wooden_Table","Wooden Table",1
33,"https://terraria.wiki.gg/wiki/Furnace","Furnace",1
34,"https://terraria.wiki.gg/wiki/Wooden_Chair","Wooden Chair",1
35,"https://terraria.wiki.gg/wiki/Iron_Anvil","Iron Anvil",1
36,"https://terraria.wiki.gg/wiki/Work_Bench","Work Bench",1
37,"https://terraria.wiki.gg/wiki/Goggles","Goggles",1
38,"https://terraria.wiki.gg/wiki/Lens","Lens",25
39,"https://terraria.wiki.gg/wiki/Wooden_Bow","Wooden Bow",1
40,"https://terraria.wiki.gg/wiki/Wooden_Arrow","Wooden Arrow",99
41,"https://terraria.wiki.gg/wiki/Flaming_Arrow","Flaming Arrow",99
42,"https://terraria.wiki.gg/wiki/Shuriken","Shuriken",99
43,"https://terraria.wiki.gg/wiki/Suspicious_Looking_Eye","Suspicious Looking Eye",3
44,"https://terraria.wiki.gg/wiki/Demon_Bow","Demon Bow",1
45,"https://terraria.wiki.gg/wiki/War_Axe_of_the_Night","War Axe of the Night",1
46,"https://terraria.wiki.gg/wiki/Light%27s_Bane","Light's Bane",1
47,"https://terraria.wiki.gg/wiki/Unholy_Arrow","Unholy Arrow",99
48,"https://terraria.wiki.gg/wiki/Chest","Chest",1
49,"https://terraria.wiki.gg/wiki/Band_of_Regeneration","Band of Regeneration",1
50,"https://terraria.wiki.gg/wiki/Magic_Mirror","Magic Mirror",1
51,"https://terraria.wiki.gg/wiki/Jester%27s_Arrow","Jester's Arrow",99
52,"https://terraria.wiki.gg/wiki/Angel_Statue","Angel Statue",1
53,"https://terraria.wiki.gg/wiki/Cloud_in_a_Bottle","Cloud in a Bottle",1
54,"https://terraria.wiki.gg/wiki/Hermes_Boots","Hermes Boots",1
55,"https://terraria.wiki.gg/wiki/Enchanted_Boomerang","Enchanted Boomerang",1
56,"https://terraria.wiki.gg/wiki/Demonite_Ore","Demonite Ore",100
